218441,tt0042041,白熱,TW,\N
219079,tt0042192,彗星美人,TW,\N
219281,tt0042208,夜闌人未靜,TW,\N
219939,tt0042276,絳帳海棠春,TW,\N
220540,tt0042332,仙履奇緣,TW,\N
222519,tt0042546,迷離世界,TW,\N
222845,tt0042593,蘭閨艷血,TW,\N
225222,tt0042876,羅生門,TW,\N
226447,tt0043014,日落大道,TW,\N
228240,tt0043265,非洲皇后,TW,\N
228383,tt0043274,愛麗絲夢遊仙境,TW,\N
228472,tt0043278,花都舞影,TW,\N
229004,tt0043338,倒扣的王牌,TW,\N
230011,tt0043456,地球末日記,TW,\N
234382,tt0043924,郎心如鐵,TW,\N
234556,tt0043949,暴君焚城錄,TW,\N
235142,tt0044008,小氣財神,TW,\N
235742,tt0044079,火車怪客,TW,\N
235793,tt0044081,慾望街車,TW,\N
240752,tt0044672,戲王之王,TW,\N
241049,tt0044706,日正當中,TW,\N
241329,tt0044741,生之慾,TW,\N
241568,tt0044760,劫後英雄傳,TW,\N
242274,tt0044837,舞台春秋,TW,\N
244077,tt0045034,歡愉,TW,\N
244377,tt0045061,蓬門今始為君開,TW,\N
245266,tt0045152,萬花嬉春,TW,\N
245654,tt0045186,昨日星塵,TW,\N
246424,tt0045274,風燭淚,TW,\N
248397,tt0045555,火線密殺令,TW,\N
250547,tt0045793,亂世忠魂,TW,\N
250671,tt0045810,紳士愛美人,TW,\N
254147,tt0046183,小飛俠,TW,\N
254804,tt0046250,羅馬假期,TW,\N
254990,tt0046268,恐懼的代價,TW,\N
255386,tt0046303,原野奇俠,TW,\N
255951,tt0046359,戰地軍魂,TW,\N
256852,tt0046438,東京物語,TW,\N
257305,tt0046478,雨月物語,TW,\N
257875,tt0046534,地球爭霸戰,TW,\N
258557,tt0046672,海底兩萬哩,TW,\N
259203,tt0046754,赤足天使,TW,\N
259906,tt0046816,凱恩艦事變,TW,\N
260818,tt0046911,浴室情殺案,TW,\N
260891,tt0046912,電話情殺案,TW,\N
262075,tt0047034,原子恐龍,TW,\N
264342,tt0047281,二十四隻眼睛,TW,\N
264469,tt0047296,岸上風雲,TW,\N
265356,tt0047396,後窗,TW,\N
265381,tt0047398,雪裡紅,TW,\N
265812,tt0047437,龍鳳配,TW,\N
266139,tt0047469,戰國妖姬,TW,\N
266180,tt0047472,七對佳偶,TW,\N
266291,tt0047478,七武士,TW,\N
266733,tt0047522,星海浮沉錄,TW,\N
266803,tt0047528,大路,TW,\N
267980,tt0047673,銀色聖誕,TW,\N
271088,tt0048021,男人的爭鬥,TW,\N
271153,tt0048028,天倫夢覺,TW,\N
272185,tt0048140,紅男綠女,TW,\N
273562,tt0048280,小姐與流氓,TW,\N
273601,tt0048281,賊博士,TW,\N
274614,tt0048356,馬蒂,TW,\N
274772,tt0048380,羅勃先生,TW,\N
275160,tt0048424,獵人之夜,TW,\N
275439,tt0048452,復活,TW,\N
275589,tt0048473,大地之歌,TW,\N
275753,tt0048491,野宴,TW,\N
276316,tt0048545,養子不教誰之過,TW,\N
276970,tt0048605,七年之癢,TW,\N
278282,tt0048728,捉賊記,TW,\N
278522,tt0048750,怪屍案,TW,\N
279738,tt0048947,真假公主,TW,\N
279864,tt0048960,環遊世界八十天,TW,\N
280184,tt0048977,壞種,TW,\N
282589,tt0049223,禁忌的星球,TW,\N
282932,tt0049261,巨人,TW,\N
283829,tt0049366,天外魔花,TW,\N
284137,tt0049406,殺手,TW,\N
284224,tt0049408,國王與我,TW,\N
284689,tt0049456,梵谷傳,TW,\N
284773,tt0049470,擒凶記,TW,\N
287042,tt0049730,搜索者,TW,\N
288004,tt0049833,十誡,TW,\N
289786,tt0050083,十二怒漢,TW,\N
290084,tt0050105,金玉盟,TW,\N
291198,tt0050212,桂河大橋,TW,\N
293081,tt0050419,甜姐兒,TW,\N
294770,tt0050613,蜘蛛巢城,TW,\N
295647,tt0050706,我的舅舅,TW,\N
296431,tt0050783,卡比莉亞之夜,TW,\N
296856,tt0050825,光榮之路,TW,\N
298280,tt0050976,第七封印,TW,\N
298405,tt0050986,野草莓,TW,\N
298885,tt0051036,成功的滋味,TW,\N
300422,tt0051201,情婦,TW,\N
301616,tt0051383,歡樂梅姑,TW,\N
301937,tt0051411,錦繡大地,TW,\N
302481,tt0051459,朱門巧婦,TW,\N
302663,tt0051477,花月斷腸時,TW,\N
303091,tt0051525,逃獄驚魂,TW,\N
304250,tt0051658,金粉世界,TW,\N
305468,tt0051773,釣金龜,TW,\N
305745,tt0051808,戰國英豪,TW,\N
307443,tt0051994,鐵達尼號：難忘之夜,TW,\N
307996,tt0052077,外太空九號計劃,TW,\N
310171,tt0052311,歷劫佳人,TW,\N
310644,tt0052357,迷魂記,TW,\N
311736,tt0052520,陰陽魔界,TW,\N
312128,tt0052561,桃色血案,TW,\N
312807,tt0052618,賓漢,TW,\N
313992,tt0052738,安妮的日記,TW,\N
315500,tt0052893,廣島之戀,TW,\N
315783,tt0052918,春風秋雨,TW,\N
317758,tt0053125,北西北,TW,\N
317942,tt0053137,海濱,TW,\N
318046,tt0053146,黑色奧菲斯,TW,\N
318434,tt0053197,Qing Cheng shi jiu xia,TW,\N
318465,tt0053198,四百擊,TW,\N
318666,tt0053221,赤膽屠龍,TW,\N
319398,tt0053285,睡美人,TW,\N
319542,tt0053291,熱情如火,TW,\N
319763,tt0053318,夏日癡魂,TW,\N
321236,tt0053459,無臉之眼,TW,\N
321427,tt0053472,斷了氣,TW,\N
321616,tt0053502,摩登原始人,TW,\N
322072,tt0053580,邊城英烈傳,TW,\N
322323,tt0053604,公寓春光,TW,\N
322443,tt0053619,情事,TW,\N
323964,tt0053779,生活的甜蜜,TW,\N
324054,tt0053793,孽海癡魂,TW,\N
325398,tt0053946,雄才怪傑,TW,\N
325669,tt0053976,處女之泉,TW,\N
326395,tt0054047,豪勇七蛟龍,TW,\N
327178,tt0054130,夜,TW,\N
327407,tt0054151,弟弟,TW,\N
327562,tt0054167,偷窺狂,TW,\N
327783,tt0054189,陽光普照,TW,\N
327828,tt0054191,The Dawn,TW,\N
